Area Code,Area Name,Count,Denominator,Indicator ID,Lower CI 95.0 limit,Lower CI 99.8 limit,Parent Code,Upper CI 95.0 limit,Upper CI 99.8 limit,Value
E09000021,Kingston upon Thames,153.85,87395.0,93769,172.5541898,156.3357879,E92000001,238.7891675,260.1383439,203.6903883
E06000024,North Somerset,1639.99,217385.0,93769,604.1692388,587.0469391,E92000001,666.5040624,685.1164721,634.7673115
E08000004,Oldham,1835.48,120674.0,93769,1808.90175900201,1759.94739635712,E92000001,1986.64433410011,2039.61563167007,1896.23865551884
E06000036,Bracknell Forest,727.8,125195.0,93769,642.889797,615.4433951,E92000001,745.320648,776.4371093,692.699674
E92000001,England,3982.25,2210773.0,93769,177.8987858,174.6713507,E92000001,189.4442428,192.8489765,183.603886
E92000001,England,42864.8,5379067.0,93769,742.6093304,738.5386014,nan,756.8603446,760.9978603,749.7094158
E10000007,Derbyshire,60897.0,778656.0,90933,7.761347996,7.727258518,E92000001,7.880527123,7.915272486,7.820783504
E92000001,England,46773.76,3482476.0,93769,1345.859618,1338.782958,nan,1370.623994,1377.811759,1358.199517
E06000039,Slough,940.55,157632.0,93769,950.83312,913.9591803,E92000001,1087.217018,1128.391888,1017.379305
E08000027,Dudley,2746.55,158358.0,93769,1713.887387,1676.279031,E92000001,1849.285833,1889.39693,1780.631385
E06000037,West Berkshire,6201.0,125292.0,258,4.830567343,4.763309011,E92000001,5.070000669,5.141596432,4.949238579
E06000011,East Riding of Yorkshire,13519.0,267331.0,258,4.974473184,4.92761013,E92000001,5.140557035,5.189448448,5.057026682
E06000058,"Bournemouth, Christchurch and Poole",22619.0,373246.0,258,5.983927525,5.940568071,E92000001,6.136908166,6.181689737,6.06007834
E92000001,England,5162.11,2707084.0,93769,222.753903,219.2195375,nan,235.3493928,239.0536827,228.9868561
E06000035,Medway,1805.3,278827.0,93769,717.5928621,698.243887,E92000001,787.8719083,808.8223552,752.1206315
E06000001,Hartlepool,793.91,92260.0,93769,822.1808058,788.6610911,E92000001,946.8801505,984.6785759,882.8923206
E09000024,Merton,195.24,110656.0,93769,198.5575827,181.8569552,E92000001,265.4718489,286.7798802,230.2385892
E08000012,Liverpool,3109.36,475486.0,93769,779.1692578,763.1484503,E92000001,836.7169204,853.7376036,807.5615479
E06000037,West Berkshire,1067.27,161864.0,93769,605.4851884,584.3278816,E92000001,683.4257376,706.8909784,643.5726599
E10000030,Surrey,36438.0,996416.0,258,3.620210929,3.599215217,E92000001,3.693874657,3.715430623,3.656906352
E92000001,England,4959.33,2697292.0,93769,179.0305055,176.1387638,E92000001,189.3415804,192.3752386,184.1319277
E08000035,Leeds,3510.96,385822.0,93769,1191.212678,1167.945331,E92000001,1274.616001,1299.247232,1232.394001
E92000001,England,142988.0,3869847.0,258,3.6761779496215,3.66540778887359,E92000001,3.71376686155929,3.72467362305929,3.69492644024428
E09000029,Sutton,5730.0,156608.0,258,3.566780103,3.514931766,E92000001,3.752589808,3.808002371,3.658816919
E06000003,Redcar and Cleveland,3816.0,110088.0,258,3.359921999,3.299800963,E92000001,3.575196806,3.640407999,3.466317855
E92000001,England,326526.0,5392579.0,90933,6.0350001886007,6.0234380360387,E92000001,6.07526052799045,6.08691571219845,6.05509905371808
E09000026,Redbridge,282.8,156267.0,93769,210.2108306,195.6275859,E92000001,267.1859851,285.0344319,237.4425825
E09000021,Kingston upon Thames,971.7,168781.0,93769,726.6352669,699.7336163,E92000001,826.0298854,856.0155426,775.15259
E92000001,England,47556.56,5537863.0,93769,775.872946549325,771.828160706555,nan,790.026394597679,794.134154667448,782.92570117164
E09000012,Hackney,4872.0,244761.0,258,1.935939807,1.905049447,E92000001,2.046249768,2.079498538,1.990513195
E92000001,England,164489.0,3891052.0,258,4.20741826660518,4.19595597409933,nan,4.24740363426689,4.25900022095138,4.22736576123886
E92000001,England,8483.55,3651828.0,93769,257.9839285,254.7944719,E92000001,269.2820945,272.59049,263.5876868
E92000001,England,1881631.0,44238482.53,258,4.247437366,4.244014459,nan,4.259329726,4.262765098,4.253380524
E92000001,England,,,93769,,,nan,,,
E10000020,Norfolk,72273.0,913869.0,90933,7.853280757,7.821662959,E92000001,7.963908839,7.996084385,7.908463905
E06000004,Stockton-on-Tees,199.99,99858.0,93769,168.3567527,154.5673087,E92000001,223.5078145,241.0497979,194.4859371
E92000001,England,52356.85,28729318.0,93769,179.3292875,178.4387937,nan,182.4439823,183.3476843,180.8816078
E92000001,England,28897.72,3953937.0,93769,676.03729,671.51972,nan,691.88514,696.49316,683.92678
E06000034,Thurrock,9908.0,175340.0,90933,5.543394008,5.482762873,E92000001,5.759540749,5.823225681,5.650735713
E08000032,Bradford,15719.0,421773.5577,258,3.670063885,3.637770157,E92000001,3.784342175,3.817957553,3.726881336
E09000023,Lewisham,309.27,160196.0,93769,253.7879068,236.4564961,E92000001,321.1366869,342.1602551,286.042962
E06000017,Rutland,213.54,20887.0,93769,776.4707967,714.6647231,E92000001,1022.487674,1100.498515,893.2361147
E92000001,England,255757.0,5854752.0,258,4.3518400397288,4.34233701024906,E92000001,4.38495198559617,4.39454399178372,4.36836607255098
E08000018,Rotherham,8693.0,208609.0,258,4.082203157,4.033917415,E92000001,4.253333562,4.304267295,4.167126059
E92000001,England,128085.0,3384471.0,258,3.76421378152044,3.75256792309252,E92000001,3.80487310666583,3.81667485393714,3.78449098839966
E92000001,England,165772.0,4032012.0,258,4.09205965653649,4.08094818339799,nan,4.13082077090908,4.14206217164052,4.11139649385964
