numeric_area_code,composite_area_code,Local Authority,PM2.5 2012 (total),PM2.5 2012 (non-anthropogenic),PM2.5 2012 (anthropogenic),PM2.5 2013 (total),PM2.5 2013 (non-anthropogenic),PM2.5 2013 (anthropogenic),PM2.5 2014 (total),PM2.5 2014 (non-anthropogenic),PM2.5 2014 (anthropogenic),PM2.5 2015 (total),PM2.5 2015 (non-anthropogenic),PM2.5 2015 (anthropogenic),PM2.5 2016 (total),PM2.5 2016 (non-anthropogenic),PM2.5 2016 (anthropogenic),PM2.5 2017 (total),PM2.5 2017 (non-anthropogenic),PM2.5 2017 (anthropogenic),PM2.5 2018 (total),PM2.5 2018 (non-anthropogenic),PM2.5 2018 (anthropogenic),PM2.5 2019 (total),PM2.5 2019 (non-anthropogenic),PM2.5 2019 (anthropogenic),PM2.5 2020 (total),PM2.5 2020 (non-anthropogenic),PM2.5 2020 (anthropogenic),PM2.5 2021 (total),PM2.5 2021 (non-anthropogenic),PM2.5 2021 (anthropogenic),PM2.5 2022 (total),PM2.5 2022 (non-anthropogenic),PM2.5 2022 (anthropogenic),PM2.5 2023 (total),PM2.5 2023 (non-anthropogenic),PM2.5 2023 (anthropogenic)
345,E09000020,Kensington and Chelsea,15.8095,2.1778,13.6316,16.0125,2.1349,13.8777,15.8139,2.1425,13.6715,12.8171,1.164,11.6532,12.5295,0.5531,11.9764,12.8692,0.582,12.2872,12.9743,0.4889,12.4855,12.631,0.5794,12.0515,10.0684,0.6387,9.4297,9.3721,0.4502,8.9219,10.2659,0.582,9.684,8.8141,0.5799,8.2342
346,E09000021,Kingston upon Thames,12.9821,2.1942,10.788,13.1706,2.1549,11.0157,12.6235,2.1656,10.4579,10.1906,1.2039,8.9867,11.6501,0.5538,11.0963,11.4462,0.6052,10.841,11.5436,0.4986,11.045,11.0626,0.5747,10.4879,9.055,0.6491,8.406,8.2576,0.4454,7.8122,8.982,0.5623,8.4197,7.7781,0.5939,7.1842
347,E09000022,Lambeth,14.5257,2.1802,12.3456,14.6998,2.1442,12.5556,14.2767,2.1636,12.1131,11.7699,1.1734,10.5965,12.4524,0.5556,11.8968,12.584,0.6009,11.9831,12.7253,0.4963,12.229,12.2468,0.5764,11.6704,10.1621,0.6409,9.5213,9.1106,0.437,8.6737,9.911,0.5692,9.3418,8.5976,0.59,8.0076
348,E09000023,Lewisham,13.6489,2.1763,11.4726,13.8347,2.1465,11.6882,13.3662,2.1749,11.1913,10.9979,1.1698,9.828,12.3027,0.5577,11.745,12.2109,0.6114,11.5995,12.3577,0.5002,11.8574,11.8628,0.575,11.2878,10.0212,0.6407,9.3806,8.7163,0.4264,8.2899,9.4039,0.5632,8.8408,8.3182,0.5952,7.723
349,E09000024,Merton,13.22,2.1903,11.0298,13.4692,2.1526,11.3165,12.9056,2.1691,10.7366,10.4579,1.1941,9.2637,12.3272,0.5551,11.772,11.998,0.6089,11.3891,12.2926,0.4997,11.7929,11.6815,0.575,11.1065,9.7261,0.6451,9.081,8.4616,0.4391,8.0225,9.2207,0.5626,8.6581,7.9768,0.5949,7.382
350,E09000025,Newham,14.5135,2.1622,12.3514,14.6488,2.1336,12.5152,14.252,2.1593,12.0926,11.8145,1.1426,10.6719,13.0313,0.5567,12.4746,13.1014,0.5934,12.508,13.4912,0.4935,12.9977,12.9918,0.5768,12.415,10.6152,0.637,9.9782,9.1481,0.431,8.7171,10.1223,0.5736,9.5487,8.8158,0.5862,8.2296
351,E09000026,Redbridge,13.8824,2.1544,11.728,13.9911,2.127,11.864,13.523,2.1504,11.3725,11.1785,1.1283,10.0502,12.334,0.556,11.7779,12.4676,0.5859,11.8818,12.6684,0.4908,12.1776,12.4125,0.5773,11.8352,9.7023,0.635,9.0673,8.58,0.4336,8.1465,9.5816,0.5776,9.004,8.3032,0.5827,7.7205
352,E09000027,Richmond upon Thames,13.0493,2.1862,10.8631,13.3296,2.1439,11.1857,12.7293,2.1485,10.5808,10.2256,1.186,9.0396,11.6334,0.5525,11.0808,11.5462,0.5875,10.9588,11.5854,0.4917,11.0937,11.2188,0.5772,10.6416,9.0722,0.6454,8.4268,8.3339,0.4522,7.8817,9.0923,0.5741,8.5182,7.8299,0.5845,7.2454
353,E09000028,Southwark,14.8265,2.1769,12.6496,15.0118,2.1416,12.8703,14.5819,2.1616,12.4203,12.0246,1.167,10.8576,12.3527,0.5557,11.797,12.5689,0.5982,11.9708,12.6851,0.4952,12.1899,12.2417,0.5768,11.665,10.1194,0.6398,9.4796,9.221,0.4366,8.7843,10.307,0.5712,9.7358,8.8961,0.5885,8.3076
354,E09000029,Sutton,12.4305,2.1972,10.2333,12.6913,2.1615,10.5298,12.0965,2.1817,9.9147,9.8607,1.2093,8.6514,11.7509,0.5562,11.1948,11.3371,0.6257,10.7115,11.4547,0.506,10.9487,10.898,0.5732,10.3248,9.2014,0.6476,8.5537,8.0926,0.4338,7.6588,8.6975,0.5528,8.1446,7.6525,0.6033,7.0492
355,E09000030,Tower Hamlets,15.3396,2.1685,13.1712,15.4754,2.1344,13.341,15.166,2.1544,13.0116,12.4701,1.1506,11.3195,12.3501,0.5555,11.7946,12.7362,0.5901,12.1461,12.8954,0.4922,12.4032,12.5387,0.5777,11.9609,10.2278,0.6374,9.5904,9.4804,0.4374,9.043,10.5919,0.5764,10.0156,9.2322,0.5843,8.6479
356,E09000031,Waltham Forest,14.2023,2.1608,12.0415,14.3531,2.1237,12.2294,13.9892,2.1365,11.8527,11.5855,1.132,10.4535,12.6985,0.5539,12.1447,12.837,0.5762,12.2608,13.0601,0.4866,12.5736,12.7743,0.5801,12.1942,9.9906,0.6341,9.3565,8.8491,0.4461,8.4031,9.9997,0.5864,9.4133,8.4832,0.5765,7.9067
357,E09000032,Wandsworth,13.9815,2.1839,11.7976,14.1925,2.1445,12.048,13.7184,2.158,11.5604,11.1863,1.1795,10.0068,12.1724,0.5544,11.6181,12.1921,0.5963,11.5958,12.37,0.4947,11.8754,11.9064,0.5769,11.3296,9.9231,0.642,9.2811,8.8931,0.4433,8.4498,9.6514,0.5714,9.0799,8.266,0.5879,7.6782
358,E09000033,City of Westminster,15.9963,2.1756,13.8207,16.179,2.1327,14.0463,16.0142,2.1406,13.8736,12.9757,1.1588,11.8169,12.4372,0.5531,11.8841,12.9017,0.5801,12.3216,12.9499,0.488,12.4619,12.6683,0.5798,12.0885,10.0551,0.6377,9.4175,9.5182,0.4504,9.0678,10.5141,0.5838,9.9303,9.066,0.5786,8.4874
359,,Aberdeen City,8.588,2.0871,6.5009,8.4574,2.0865,6.371,8.8675,2.1187,6.7488,7.0113,0.9961,6.0152,5.9181,0.5103,5.4079,5.6641,0.4729,5.1912,5.9374,0.3774,5.5601,5.2167,0.3918,4.825,4.0215,0.4771,3.5443,4.6641,0.2816,4.3826,4.9889,0.4663,4.5226,3.9624,0.4634,3.4991
360,,Aberdeenshire,7.6884,2.1009,5.5875,7.6975,2.0818,5.6158,7.9989,2.128,5.8709,6.2165,1.0036,5.2129,5.2364,0.5232,4.7132,5.0954,0.485,4.6104,5.1696,0.3758,4.7937,4.6939,0.3893,4.3046,3.4142,0.4783,2.9359,3.5632,0.2978,3.2654,3.9131,0.4554,3.4577,3.3885,0.4625,2.9259
361,,Angus,7.5283,1.9813,5.547,7.7153,2.0049,5.7104,7.9453,1.9944,5.9509,6.4663,0.9496,5.5166,5.7444,0.4987,5.2457,5.4537,0.4617,4.992,5.584,0.3794,5.2046,5.1112,0.3814,4.7298,3.7973,0.4772,3.32,3.8255,0.2828,3.5427,4.2958,0.4595,3.8363,3.7176,0.4533,3.2643
362,,Argyll and Bute,5.7963,2.1686,3.6278,6.2001,2.0998,4.1004,5.8572,1.9087,3.9485,4.8254,0.965,3.8603,4.6629,0.5099,4.1529,4.333,0.4602,3.8728,4.4557,0.4128,4.0429,4.1909,0.3549,3.836,2.9452,0.4837,2.4615,2.9087,0.4321,2.4767,3.1809,0.4758,2.7051,3.1139,0.4321,2.6818
363,,Clackmannanshire,7.5495,2.0006,5.5489,7.7245,1.9837,5.7409,7.6097,1.9111,5.6986,6.2304,0.9502,5.2803,5.8732,0.5031,5.3701,6.0609,0.4497,5.6112,5.882,0.3781,5.5039,5.7788,0.3503,5.4285,4.3779,0.4745,3.9034,4.1345,0.316,3.8185,4.8613,0.4493,4.4119,4.1021,0.42,3.6821
364,,Dumfries and Galloway,6.5217,1.9864,4.5354,7.3526,2.1037,5.249,7.0472,1.9452,5.102,5.7162,1,4.7162,5.2999,0.4606,4.8393,5.4984,0.4393,5.0591,5.4316,0.3902,5.0414,4.849,0.3615,4.4875,3.7797,0.4688,3.3109,3.8964,0.3691,3.5273,4.1781,0.4676,3.7106,3.9953,0.4428,3.5525
